-----------------------------------------------------------------------------
-                  Time of Log in: 04/02/2023 14:04:50                       -
-----------------------------------------------------------------------------
	Shoulder Position: 130.0		Elbow Position: 180.0
-----------------------------------------------------------------------------
-                  Time of Log in: 04/02/2023 14:05:28                       -
-----------------------------------------------------------------------------
	Shoulder Position: 129.9616		Elbow Position: 165.4368
	Shoulder Position: 129.9616		Elbow Position: 165.4368
	Shoulder Position: 129.9616		Elbow Position: 165.4368
	Shoulder Position: 129.9616		Elbow Position: 165.4368
	Shoulder Position: 129.2576		Elbow Position: 165.4368
	Shoulder Position: 128.3936		Elbow Position: 165.4368
	Shoulder Position: 129.3024		Elbow Position: 165.4368
	Shoulder Position: 130.4672		Elbow Position: 165.4368
	Shoulder Position: 132.2272		Elbow Position: 165.4368
	Shoulder Position: 132.2272		Elbow Position: 165.4368
	Shoulder Position: 130.64		Elbow Position: 165.4368
	Shoulder Position: 130.1536		Elbow Position: 165.4368
	Shoulder Position: 129.0656		Elbow Position: 165.4368
	Shoulder Position: 129.3536		Elbow Position: 165.4368
	Shoulder Position: 131.4848		Elbow Position: 165.4368
	Shoulder Position: 131.9968		Elbow Position: 165.4368
	Shoulder Position: 132.7712		Elbow Position: 165.4368
	Shoulder Position: 132.7648		Elbow Position: 165.4368
	Shoulder Position: 132.528		Elbow Position: 165.4272
	Shoulder Position: 133.7248		Elbow Position: 165.4272
	Shoulder Position: 134.4288		Elbow Position: 165.4272
	Shoulder Position: 136.7776		Elbow Position: 165.4272
	Shoulder Position: 139.2608		Elbow Position: 165.4272
	Shoulder Position: 140.2144		Elbow Position: 165.4272
	Shoulder Position: 141.456		Elbow Position: 165.4272
	Shoulder Position: 143.9712		Elbow Position: 165.4272
	Shoulder Position: 144.5984		Elbow Position: 165.4272
	Shoulder Position: 146.3648		Elbow Position: 165.4272
	Shoulder Position: 146.7936		Elbow Position: 165.4272
	Shoulder Position: 147.79840000000002		Elbow Position: 165.4272
	Shoulder Position: 147.79840000000002		Elbow Position: 165.4272
	Shoulder Position: 148.6112		Elbow Position: 165.4272
	Shoulder Position: 148.6112		Elbow Position: 165.4272
	Shoulder Position: 148.6112		Elbow Position: 165.4272
	Shoulder Position: 148.6112		Elbow Position: 165.4272
	Shoulder Position: 148.6112		Elbow Position: 165.4272
